creation_date;total_discount_amount;informed_gross_amount;sii_status;user
21/02/2018;0;8.000;Aceptado;8
21/02/2018;0;13.500;Aceptado;2
21/02/2018;0;34.000;Aceptado;5
21/02/2018;0;16.000;Aceptado;8
21/02/2018;0;7.000;Aceptado;11
21/02/2018;0;8.000;Aceptado;12
21/02/2018;0;5.500;Aceptado;13
21/02/2018;0;17.000;Aceptado;17
21/02/2018;0;16.000;Aceptado;21
21/02/2018;0;13.500;Aceptado;22
28/02/2018;0;13.500;Aceptado;3
28/02/2018;0;15.000;Aceptado;4
28/02/2018;0;7.000;Aceptado;6
28/02/2018;0;18.000;Aceptado;16
28/02/2018;0;9.000;Aceptado;18
28/02/2018;0;100;Aceptado;34
07/03/2018;0;9.000;Aceptado;15
19/03/2018;0;5.500;Aceptado;24
19/03/2018;0;8.000;Aceptado;1
18/07/2018;0;9.000;Aceptado;18
18/07/2018;0;8.000;Aceptado;28
18/07/2018;0;16.000;Aceptado;21
18/07/2018;0;44.000;Aceptado;4
18/07/2018;0;24.000;Aceptado;12
18/07/2018;0;29.500;Aceptado;3
18/07/2018;0;17.000;Aceptado;17
18/07/2018;0;16.000;Aceptado;17
18/07/2018;0;9.000;Aceptado;15
18/07/2018;0;5.500;Aceptado;24
18/07/2018;0;29.500;Aceptado;9
18/07/2018;0;9.000;Aceptado;29
18/07/2018;0;5.500;Anulado;20
18/07/2018;0;27.000;Aceptado;8
18/07/2018;0;7.000;Anulado;34
18/07/2018;0;16.000;Aceptado;26
18/07/2018;0;36.000;Aceptado;16
18/07/2018;0;25.000;Aceptado;6
18/07/2018;0;27.000;Aceptado;7
18/07/2018;0;16.000;Aceptado;14
18/07/2018;0;45.500;Aceptado;22
18/07/2018;0;13.500;Aceptado;2
18/07/2018;0;8.000;Aceptado;10
18/07/2018;0;18.000;Aceptado;27
18/07/2018;0;61.000;Aceptado;5
20/07/2018;0;9.000;Aceptado;8
20/07/2018;0;18.000;Aceptado;3
20/07/2018;0;9.000;Aceptado;11
20/07/2018;0;27.000;Aceptado;6
20/07/2018;0;16.000;Aceptado;22
01/01/2000;0;8.000;No Creada;25
01/01/2000;0;24.000;No Creada;9
01/01/2000;0;8.000;No Creada;32
01/01/2000;0;18.000;No Creada;30
01/01/2000;0;8.000;No Creada;22
01/01/2000;0;9.000;No Creada;31
01/01/2000;0;9.000;No Creada;15
01/01/2000;0;8.000;No Creada;17
01/01/2000;0;9.000;No Creada;8
01/01/2000;0;8.000;No Creada;4
01/01/2000;0;6.000;No Creada;30
01/01/2000;0;8.000;No Creada;3
01/01/2000;0;9.000;No Creada;16
01/01/2000;0;8.000;No Creada;12
01/01/2000;0;18.000;No Creada;27
01/01/2000;0;8.000;No Creada;33
