creation_date;discount_amount;wash_type;washer;vehicle;receipt;receipt_assigned_amount_to_wash
04/01/2018;0;2;3;2;2;5500
04/01/2018;0;2;3;5;12;7000
04/01/2018;0;2;3;7;3;7000
04/01/2018;0;2;3;9;13;7000
04/01/2018;0;2;3;11;4;7000
04/01/2018;0;2;3;12;30;5500
04/01/2018;0;2;3;17;7;5500
04/01/2018;5.500;2;3;25;1;0
04/01/2018;0;2;3;27;10;5500
11/01/2018;0;3;3;4;11;8000
11/01/2018;0;3;3;7;3;9000
11/01/2018;0;2;3;14;5;7000
11/01/2018;0;3;3;19;17;9000
11/01/2018;0;3;3;20;14;9000
11/01/2018;0;3;3;23;15;9000
11/01/2018;0;3;3;26;9;8000
18/01/2018;0;3;3;1;1;8000
18/01/2018;0;3;3;13;42;8000
18/01/2018;0;3;3;27;10;8000
18/01/2018;0;2;3;29;18;5500
24/01/2018;1.500;2;3;3;11;5500
24/01/2018;0;3;3;7;3;9000
24/01/2018;0;3;3;11;4;9000
24/01/2018;0;3;3;12;30;8000
24/01/2018;0;3;3;18;39;8000
24/01/2018;0;3;3;20;14;9000
24/01/2018;0;3;3;21;8;8000
24/01/2018;0;3;3;2;2;8000
31/01/2018;0;3;4;6;12;8000
31/01/2018;0;3;4;7;3;9000
31/01/2018;0;3;4;15;6;8000
31/01/2018;0;3;4;22;8;9000
31/01/2018;0;3;4;26;9;8000
31/01/2018;0;3;4;30;50;8000
31/01/2018;0;3;4;42;;
07/02/2018;0;3;4;3;46;9000
07/02/2018;0;3;4;5;23;9000
07/02/2018;0;3;4;7;44;9000
07/02/2018;0;3;4;10;38;9000
07/02/2018;0;3;4;11;33;9000
07/02/2018;0;3;4;27;40;8000
14/02/2018;0;3;4;20;36;9000
14/02/2018;0;3;4;14;47;9000
14/02/2018;0;2;4;29;29;5500
14/02/2018;0;3;4;1;19;8000
14/02/2018;0;3;4;9;37;9000
14/02/2018;0;3;4;32;35;8000
14/02/2018;0;3;4;42;;
21/02/2018;0;3;4;16;24;8000
21/02/2018;0;3;4;26;22;8000
21/02/2018;0;3;4;12;30;8000
21/02/2018;0;3;4;27;40;8000
21/02/2018;0;3;4;33;43;9000
28/02/2018;0;2;4;8;44;5500
28/02/2018;0;3;4;5;23;9000
28/02/2018;0;3;4;3;46;9000
28/02/2018;0;3;4;10;38;9000
28/02/2018;0;3;4;15;24;8000
28/02/2018;0;3;4;9;48;9000
28/02/2018;0;3;4;34;21;8000
12/03/2018;0;3;5;2;41;8000
12/03/2018;0;3;5;5;23;9000
12/03/2018;0;3;5;11;33;9000
12/03/2018;0;3;5;20;36;9000
12/03/2018;0;3;5;21;26;8000
15/03/2018;0;3;5;27;40;8000
15/03/2018;0;3;5;9;48;9000
15/03/2018;0;3;5;33;43;9000
15/03/2018;0;3;5;23;20;9000
21/03/2018;0;3;5;19;28;9000
21/03/2018;0;3;5;12;30;8000
21/03/2018;0;3;5;35;31;9000
21/03/2018;0;3;5;42;;
28/03/2018;0;3;5;10;38;9000
28/03/2018;0;3;5;18;39;8000
28/03/2018;0;3;5;7;44;9000
28/03/2018;0;3;5;4;25;8000
28/03/2018;0;3;5;6;23;8000
28/03/2018;0;3;5;27;40;8000
04/04/2018;0;3;5;32;35;8000
04/04/2018;0;3;5;20;36;9000
04/04/2018;0;3;5;11;33;9000
04/04/2018;0;3;5;21;27;8000
13/04/2018;0;3;5;12;51;8000
13/04/2018;0;3;5;15;24;8000
13/04/2018;0;3;5;7;44;9000
13/04/2018;0;3;5;27;49;8000
13/04/2018;0;3;5;42;;
18/04/2018;0;3;5;5;23;9000
18/04/2018;0;3;5;26;22;8000
18/04/2018;0;3;5;21;27;8000
18/04/2018;0;3;5;11;45;9000
18/04/2018;0;3;5;42;;
25/04/2018;0;3;5;27;49;8000
25/04/2018;0;3;5;9;48;9000
25/04/2018;0;3;5;7;44;9000
02/05/2018;0;3;5;4;25;8000
02/05/2018;0;3;5;12;51;8000
02/05/2018;0;3;5;42;;
04/07/2018;0;3;6;11;58;9000
04/07/2018;0;3;6;7;;
04/07/2018;0;3;6;19;56;9000
11/07/2018;0;3;6;33;64;9000
11/07/2018;0;3;6;27;54;8000
11/07/2018;0;3;6;7;;
11/07/2018;0;3;6;12;51;8000
11/07/2018;0;3;6;36;;
18/07/2018;0;3;6;21;57;8000
18/07/2018;0;3;6;37;55;9000
18/07/2018;0;3;6;38;52;8000
01/08/2018;0;3;6;9;;
01/08/2018;0;3;6;4;61;8000
01/08/2018;0;3;6;19;;
01/08/2018;0;3;6;10;;
01/08/2018;0;3;6;27;;
01/08/2018;0;3;6;39;65;8000
08/08/2018;0;3;6;33;64;9000
08/08/2018;0;3;6;15;63;8000
08/08/2018;0;3;6;11;;
08/08/2018;0;2;6;38;;
08/08/2018;0;3;6;19;;
08/08/2018;0;3;6;21;;
08/08/2018;0;3;6;20;62;9000
08/08/2018;-1.000;3;6;40;53;9000
15/08/2018;8.000;3;6;39;1;0
22/08/2018;0;3;6;37;;
22/08/2018;0;3;6;27;;
29/08/2018;0;3;6;38;;
29/08/2018;0;3;6;7;;
29/08/2018;0;3;6;10;;
29/08/2018;0;3;6;19;;
06/09/2018;0;3;6;27;;
06/09/2018;0;3;6;42;;
06/09/2018;-1.000;3;6;40;53;9000
06/09/2018;0;3;6;7;;
06/09/2018;4.500;3;6;23;;
12/09/2018;0;3;6;26;;
12/09/2018;0;3;6;7;;
12/09/2018;0;3;6;6;59;8000
26/09/2018;0;3;6;9;;
26/09/2018;2.000;3;6;40;60;6000
26/09/2018;0;3;6;7;;
26/09/2018;0;3;6;21;;
